Engine,Query,TPCDS_02,TPCDS_04,TPCDS_06,TPCDS_08,TPCDS_1
MyISAM,1,2.79,8.427,18.255,30.155,45.846
MyISAM,3,0.508,1.778,1.149,1.297,1.168
MyISAM,4,14.921,900,900,900,900
MyISAM,6,303.714,313.28,306.171,291.965,900
MyISAM,7,4.999,900,900,900,900
MyISAM,8,0.662,1.327,1.121,1.093,7.904
MyISAM,9,0.809,3.675,4.922,6.284,8.083
MyISAM,10,900,900,900,900,900
MyISAM,11,10.878,900,900,900,900
MyISAM,13,88.574,199.088,218.635,291.245,1.696
MyISAM,15,0.298,1.337,7.359,8.38,7.425
MyISAM,17,0.002,40.107,33.68,39.468,1.129
MyISAM,19,0.923,1.941,2.184,2.653,4.231
MyISAM,24,0.037,0.073,0.032,0.047,0.043
MyISAM,25,2.722,900,900,900,0.799
MyISAM,26,3.519,17.241,5.081,7.132,5.456
MyISAM,28,1.176,2.646,3.266,5.019,5.299
MyISAM,29,1.223,3.408,3.476,4.993,0.623
MyISAM,30,0.249,1.671,0.27,1.72,1.042
MyISAM,31,3.378,900,900,900,900
MyISAM,33,900,900,900,900,12.811
MyISAM,34,4.025,9.121,8.345,19.3,10.097
MyISAM,35,900,900,900,900,900
MyISAM,38,0.92,24.983,26.364,38.773,10.404
MyISAM,39,4.078,6.677,20.357,42.927,17.707
MyISAM,41,4.448,4.897,4.466,5.667,4.698
MyISAM,42,0.477,0.819,1.064,1.487,1.311
MyISAM,43,0.6,1.082,1.425,1.785,5.523
MyISAM,44,0.974,1.637,2.284,3.118,3.971
MyISAM,45,6.689,6.943,6.975,7.858,1.438
MyISAM,46,5.11,6.423,7.748,10.069,10.965
MyISAM,47,3.322,5.505,7.316,147.106,18.957
MyISAM,50,1.354,1.016,1.267,1.937,0.499
MyISAM,52,0.493,0.803,1.001,1.635,1.232
MyISAM,53,0.599,0.998,1.303,2.122,2.278
MyISAM,55,0.422,0.885,1.989,1.451,1.283
MyISAM,56,900,900,900,900,1.669
MyISAM,57,1.09,2.503,1.876,4.117,6.418
MyISAM,58,1.088,2.823,1.986,3.166,2.914
MyISAM,59,3.257,6.073,4.434,6.52,8.303
MyISAM,60,900,900,900,900,2.889
MyISAM,61,0.063,0.075,0.03,0.065,0.042
